ID,rodada,data,hora,dia,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado,estado_vencedor
7632,37,2021-12-12,19:59,Domingo,Cuiaba,Fortaleza,4-4-1-1,3-4-1-2,J. Vojvoda,J. Vojvoda,Cuiaba,arena pantanal,1,0,MT,CE,MT
7633,37,2021-12-12,19:59,Domingo,Internacional,Atletico-GO,4-2-3-1,4-5-1,M. Ribeiro Cabo,M. Ribeiro Cabo,Atletico-GO,estadio jose pinheiro borda,1,2,RS,GO,GO
7634,37,2021-12-12,20:00,Domingo,Flamengo,Santos,4-4-2,3-4-2-1,F. Carille,F. Carille,Santos,maracana,0,1,RJ,SP,SP
7635,37,2021-12-12,21:00,Domingo,Chapecoense,Sport,4-4-2,4-2-3-1,G. Florentín,G. Florentín,Sport,arena conda,0,1,SC,PE,PE
7636,38,2021-12-12,21:33,Domingo,Fortaleza,Bahia,3-4-1-2,4-2-3-1,A. Ferreira,A. Ferreira,Fortaleza,arena castelao,2,1,CE,BA,CE
7637,38,2021-12-12,21:33,Domingo,Atletico-GO,Flamengo,4-3-3,3-4-2-1,M. Souza,M. Souza,Atletico-GO,estadio antonio accioly,2,0,GO,RJ,GO
7638,38,2021-12-12,21:33,Domingo,Palmeiras,Ceara,3-4-1-2,4-2-3-1,T. Retzalff Nunes,T. Retzalff Nunes,Palmeiras,arena barueri,1,0,SP,CE,SP
7639,38,2021-12-12,21:33,Domingo,Fluminense,Chapecoense,4-2-3-1,5-3-2,F. Paiva Endres,F. Paiva Endres,Fluminense,maracana,3,0,RJ,SC,RJ
7640,38,2021-12-12,21:33,Domingo,America-MG,Sao Paulo,4-2-3-1,3-4-1-2,R. Ceni,R. Ceni,America-MG,estadio raimundo sampaio,2,0,MG,SP,MG
7641,38,2021-12-12,21:33,Domingo,Bragantino,Internacional,4-2-3-1,3-4-2-1,D. Aguirre Camblor,D. Aguirre Camblor,Bragantino,nabizao,1,0,SP,RS,SP
7642,38,2021-12-12,21:30,Domingo,Sport,Athletico-PR,4-2-3-1,3-4-2-1,J. Freitas,J. Freitas,-,arena de pernambuco,1,1,PE,PR,-
7643,38,2021-12-12,21:33,Domingo,Juventude,Corinthians,3-4-3,4-3-3,S. Campos Junior,S. Campos Junior,Juventude,alfredo jaconi,1,0,RS,SP,RS
7644,38,2021-12-12,21:33,Domingo,Gremio,Atletico-MG,4-2-3-1,4-2-3-1,A. Stival,A. Stival,Gremio,arena do gremio,4,3,RS,MG,RS
7645,38,2021-12-12,21:33,Domingo,Santos,Cuiaba,3-4-2-1,4-4-2,J. de Amorim Campos,J. de Amorim Campos,-,estadio urbano caldeira,1,1,SP,MT,-
