ID,rodada,data,hora,dia,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado,estado_vencedor
7399,14,2021-08-01,16:00,Domingo,Corinthians,Flamengo,4-1-4-1,4-2-3-1,Renato Gaúcho,Renato Gaúcho,Flamengo,neo quimica arena,1,3,SP,RJ,RJ
7400,14,2021-08-01,16:00,Domingo,Atletico-MG,Athletico-PR,4-2-3-1,4-2-3-1,A. Cardoso de Oliveira,A. Cardoso de Oliveira,Atletico-MG,mineirao,2,0,MG,PR,MG
7401,14,2021-08-01,18:15,Domingo,Chapecoense,Santos,4-2-3-1,4-1-4-1,F. Diniz Silva,F. Diniz Silva,Santos,arena conda,0,1,SC,SP,SP
7402,14,2021-08-01,18:15,Domingo,Bahia,Sport,4-3-3,4-2-3-1,U. Louzer Filho,U. Louzer Filho,Sport,estadio de pituacu,0,1,BA,PE,PE
7403,14,2021-08-01,20:28,Domingo,Atletico-GO,America-MG,4-2-3-1,3-4-2-1,V. Carmo Mancini,V. Carmo Mancini,-,estadio antonio accioly,1,1,GO,MG,-
7404,14,2021-08-01,20:30,Domingo,Ceara,Fortaleza,4-3-3,3-4-1-2,J. Vojvoda,J. Vojvoda,Ceara,arena castelao,3,1,CE,CE,CE
7405,14,2021-09-02,19:00,Quinta-feira,Fluminense,Juventude,4-3-3,4-3-3,M. dos Santos Gonçalves,M. dos Santos Gonçalves,-,maracana,1,1,RJ,RS,-
7406,15,2021-08-06,18:59,Sexta-feira,Sport,Bragantino,4-2-3-1,4-1-4-1,C. Maldonado,C. Maldonado,-,adelmar da costa carvalho,0,0,PE,SP,-
7407,15,2021-08-07,17:59,Sabado,Athletico-PR,Sao Paulo,4-2-3-1,4-2-3-1,H. Crespo,H. Crespo,Sao Paulo,estadio joaquim americo guimaraes,1,2,PR,SP,SP
7408,15,2021-08-07,21:00,Sabado,Palmeiras,Fortaleza,4-2-3-1,3-5-2,J. Vojvoda,J. Vojvoda,Fortaleza,allianz parque,2,3,SP,CE,CE
7409,15,2021-08-07,21:00,Sabado,Cuiaba,Bahia,4-2-3-1,4-1-3-2,L. Cavalcanti,L. Cavalcanti,-,arena pantanal,1,1,MT,BA,-
7410,15,2021-08-08,16:00,Domingo,Juventude,Atletico-MG,4-2-3-1,4-2-3-1,A. Stival,A. Stival,Atletico-MG,alfredo jaconi,1,2,RS,MG,MG
7411,15,2021-08-08,16:00,Domingo,America-MG,Fluminense,4-2-3-1,4-2-3-1,R. Machado Marques,R. Machado Marques,America-MG,estadio raimundo sampaio,1,0,MG,RJ,MG
7412,15,2021-08-08,15:59,Domingo,Santos,Corinthians,4-3-3,4-1-4-1,S. Campos Junior,S. Campos Junior,-,estadio urbano caldeira,0,0,SP,SP,-
7413,15,2021-08-08,18:15,Domingo,Ceara,Atletico-GO,4-2-3-1,4-2-3-1,E. de Souza Barroca,E. de Souza Barroca,-,arena castelao,0,0,CE,GO,-
